   i    j      cc  nref
   7   11  0.3417 2300
   7   12  0.5871 3078
   7   13  0.3650 4818
   7   14  0.5473 4720
   7   15  0.3653 4932
   7   16  0.3558 3778
   7   17  0.5113 1725
   7   18  0.4799 1884
   7   19  0.5460 3836
   7   20  0.8322 1891
   7   21  0.8508 3370
   7   22  0.8618 1872
   7   23  0.7661 3339
   7   24  0.7660 2970
   7   25  0.8281 3735
   7   26  0.8370 2991
   7   27  0.8254 3704
   7   28  0.8168 3687
   7   29  0.8651 2262
   7   30  0.6919 2223
   7   31  0.8252 3684
   7   32  0.3938 3186
   7   33  0.5241 3700
   7   34  0.5492 3269
   7   35  0.5856 3690
   7   36  0.5295 1861
   7   37  0.4783 3527
   7   38  0.6016 1912
   7   39  0.3221 3563
   7   40  0.4763 2464
   7   41  0.3407 4031
   7   42  0.5627 3858
   7   43  0.7664 4904
   7   44  0.8331 1691
   7   45  0.8256 4921
   7   46  0.5918 1641
   7   47  0.6796 3818
   7   48  0.6751 3426
   7   49  0.8333 3865
   7   50  0.7934 3341
   7   51  0.7029 4978
   7   52  0.7928 2929
   7   53  0.4729 2955
   7   54  0.8286 5043
   7   55  0.5836 3059
   7   56  0.5320 3549
   7   57  0.5862 3130
   7   58  0.5316 3602
   7   59  0.5233 5383
   7   60  0.5888 4847
   7   61  0.5270 5377
   7   62  0.6011 4981
   7   63  0.5650 3553
   7   64  0.5204 2251
   7   65  0.4895 2249
   7   66  0.6100 3584
   8    9  0.9675 5891
   8   10  0.9952 3530
   8   11  0.4676 4443
   8   12  0.5780 1149
   8   13  0.4373 3732
   8   14  0.4888 2891
   8   15  0.3820 3842
   8   16  0.5344 4985
   8   17  0.6750 3705
   8   18  0.6555 3904
   8   19  0.6611 5063
   8   20  0.9356 3215
   8   21  0.9258 3479
   8   22  0.9688 3184
   8   23  0.8505 3456
   8   24  0.8942 4068
   8   25  0.9456 4814
   8   26  0.9513 4100
   8   27  0.9353 4749
   8   28  0.9087 3630
   8   29  0.9398 2346
   8   30  0.7844 2293
   8   31  0.9157 3615
   8   32  0.4817 3489
   8   33  0.5688 3845
   8   34  0.6722 3561
   8   35  0.5954 3872
