   i    j      cc  nref
   4   59  0.9758 1042
   4   60  0.9741  969
   4   61  0.9783 1493
   4   62  0.9593 2239
   4   63  0.9584 3930
   4   64  0.9691 3951
   4   65  0.9694 1893
   4   66  0.9674  963
   4   67  0.9496 3850
   4   68  0.9713 1466
   4   69  0.9588 2126
   4   70  0.9560 3848
   4   71  0.9368 3852
   4   72  0.9647 1859
   4   73  0.9614  924
   4   74  0.9701 1454
   4   75  0.9582 2114
   4   76  0.9484 3676
   4   77  0.9630 3746
   4   78  0.9639 3934
   4   79  0.8928 1820
   4   80  0.9739  944
   4   81  0.8986 1434
   4   82  0.9644 1920
   5    6  0.9683 1898
   5    7  0.9703 4257
   5    8  0.9764 4234
   5    9  0.9605 3649
   5   10  0.9576 2177
   5   11  0.9813  856
   5   12  0.9602 3634
   5   13  0.9845 3196
   5   14  0.9826 2165
   5   15  0.9726  871
   5   16  0.8837 1734
   5   17  0.9717 2073
   5   18  0.9247 2595
   5   19  0.9689 1090
   5   20  0.9816 1575
   5   21  0.9716 2619
   5   22  0.9727 3496
   5   23  0.9791 2779
   5   24  0.9777 3401
   5   25  0.9684 2638
   5   26  0.9660 3512
   5   27  0.7650 2742
   5   28  0.8945 1038
   5   29  0.9748 1554
   5   30  0.9762 2618
   5   31  0.7228 3466
   5   32  0.9841 2764
   5   33  0.9517 3625
   5   34  0.5552 1489
   5   35  0.9825 1496
   5   36  0.9314  998
   5   37  0.9612 4993
   5   38  0.9770 2877
   5   39  0.9725 1068
   5   40  0.9852  901
   5   41  0.9828 2086
   5   42  0.9877 3555
   5   43  0.9810 5045
   5   44  0.9782  895
   5   45  0.9814 2821
   5   46  0.9710 1070
   5   47  0.9838  888
   5   48  0.9714 2068
   5   49  0.9694 3476
   5   50  0.9837 4985
   5   51  0.9804 2852
   5   52  0.9496 1053
   5   53  0.9860  886
   5   54  0.9846 2056
   5   55  0.9840 2047
   5   56  0.9876 3504
   5   57  0.8266 4908
   5   58  0.6397 2468
   5   59  0.9802 3436
   5   60  0.9765 2846
   5   61  0.9705 2845
   5   62  0.9697 1849
   5   63  0.9628 1410
   5   64  0.9846 1683
   5   65  0.9825 2748
   5   66  0.9596 2835
   5   67  0.9506 1408
   5   68  0.9703 2790
   5   69  0.9626 1726
   5   70  0.9611 1357
   5   71  0.9553 1690
   5   72  0.9784 2772
   5   73  0.9549 2737
   5   74  0.9643 2696
   5   75  0.9528 1653
   5   76  0.9488 1279
   5   77  0.9710 1687
   5   78  0.9819 1681
   5   79  0.9231 2815
   5   80  0.9633 2741
   5   81  0.9436 2635
   5   82  0.9803 2710
   6    7  0.9973 2994
   6    8  0.9945 1738
   6    9  0.9863 2656
   6   10  0.9690 3878
   6   11  0.9948 3074
   6   12  0.9791 2640
   6   13  0.9842 1515
   6   14  0.9917 3790
   6   15  0.9596 2994
   6   16  0.8785 7175
   6   17  0.9834 3333
   6   18  0.9460 2304
   6   19  0.9880 4617
   6   20  0.9908 3602
   6   21  0.9913 2329
   6   22  0.9892 2020
   6   23  0.9805 1976
   6   24  0.9741 1950
   6   25  0.9899 2349
   6   26  0.9890 2025
   6   27  0.7399 1892
   6   28  0.9436 4520
   6   29  0.9901 3594
   6   30  0.9955 2333
   6   31  0.7832 1989
   6   32  0.9663 1959
   6   33  0.9124 3170
   6   34  0.7414 3007
   6   35  0.9861 3127
   6   36  0.9275 5531
   6   37  0.9692 2486
   6   38  0.9723 4143
   6   39  0.9815 5876
   6   40  0.9790 2735
   6   41  0.9850 2400
   6   42  0.9879 2457
   6   43  0.9887 2515
   6   44  0.9489 2678
   6   45  0.9873 4066
   6   46  0.9882 5901
   6   47  0.9827 2727
   6   48  0.9560 2357
   6   49  0.9718 2377
   6   50  0.9853 2490
   6   51  0.9867 4162
   6   52  0.9774 5860
   6   53  0.9801 2709
   6   54  0.9806 2369
   6   55  0.9721 2343
